long_cid_ori,lat_cid_ori,nome_procedimento,SP_CIDADE_P_EXT,cidade_origem,cidade_do_procedimento,procedimento,total_ocorrencias
-52.6789,-27.4238,TRATAMENTO DE DOENCAS NEURO-DEGENERATIVAS,Cidade do RS,FAXINALZINHO,NONOAI,303040203,198
-52.6789,-27.4238,TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS,Cidade do RS,FAXINALZINHO,NONOAI,303150041,198
-53.9296,-27.4555,CURETAGEM POS-ABORTAMENTO / PUERPERAL,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,411020013,1537
-53.9296,-27.4555,APENDICECTOMIA VIDEOLAPAROSCOPICA,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,407020047,1537
-53.9296,-27.4555,HERNIOPLASTIA UMBILICAL,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,407040129,1537
-53.9891,-27.3603,RETIRADA DE FIO OU PINO INTRA-OSSEO,Cidade do RS,ESPERANÇA DO SUL,TRÊS PASSOS,408060352,169
-53.9891,-27.3603,REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS),Cidade do RS,ESPERANÇA DO SUL,TRÊS PASSOS,408010142,169
-53.9891,-27.3603,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),Cidade do RS,ESPERANÇA DO SUL,TRÊS PASSOS,407040102,169
-53.9891,-27.3603,TRATAMENTO CIRURGICO DE FRATURA DA DIAFISE DA TIBIA,Cidade do RS,ESPERANÇA DO SUL,TRÊS PASSOS,408050500,169
-53.7022,-27.7197,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,CORONEL BICACO,TRÊS PASSOS,303140151,493
-53.0575,-27.3297,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,PLANALTO,PLANALTO,303010037,636
-53.0575,-27.3297,TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ,Cidade do RS,PLANALTO,PLANALTO,303100044,636
-53.0575,-27.3297,TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS,Cidade do RS,PLANALTO,PLANALTO,303020032,636
-53.0575,-27.3297,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,PLANALTO,PLANALTO,303140046,636
-53.608,-27.2109,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303010037,404
-53.608,-27.2109,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303150050,404
-53.608,-27.2109,TRATAMENTO DE CALCULOSE RENAL,Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,305020021,404
-53.608,-27.2109,TRATAMENTO DE DIABETES MELLITUS,Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303030038,404
-53.7585,-27.3711,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS,Cidade do RS,TENENTE PORTELA,PALMITINHO,303130016,1337
-53.7585,-27.3711,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES,Cidade do RS,TENENTE PORTELA,PALMITINHO,303130024,1337
-53.3958,-27.3586,TRATAMENTO CIRURGICO DE DEDO EM GATILHO,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,408020326,1186
-53.3958,-27.3586,CURETAGEM POS-ABORTAMENTO / PUERPERAL,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,411020013,1186
-53.4026,-27.4829,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),Cidade do RS,SEBERI,FREDERICO WESTPHALEN,407040102,780
-53.4026,-27.4829,HEMORROIDECTOMIA,Cidade do RS,SEBERI,FREDERICO WESTPHALEN,407020284,780
-53.3958,-27.3586,APENDICECTOMIA,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,407020039,1186
-53.3958,-27.3586,TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,308040015,1186
-53.3958,-27.3586,TRATAMENTO DE CRISES EPILETICAS NAO CONTROLADAS,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,303040165,1186
-53.558,-27.3596,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,PALMITINHO,FREDERICO WESTPHALEN,303140046,779
-53.4702,-27.4005,TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES,Cidade do RS,TAQUARUÇU DO SUL,FREDERICO WESTPHALEN,303140143,288
-53.4026,-27.4829,PARTO NORMAL,Cidade do RS,SEBERI,SEBERI,310010039,780
-53.183,-27.3607,PARTO CESARIANO C/ LAQUEADURA TUBARIA,Cidade do RS,AMETISTA DO SUL,SEBERI,411010042,739
-53.183,-27.3607,PARTO CESARIANO,Cidade do RS,AMETISTA DO SUL,SEBERI,411010034,739
-53.4026,-27.4829,TRATAMENTO DE ESTREPTOCOCCIAS,Cidade do RS,SEBERI,SEBERI,303080078,780
-53.5005,-27.5443,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,ERVAL SECO,SEBERI,303010061,349
-53.2543,-27.1951,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,IRAÍ,IRAÍ,303140046,644
-52.0838,-27.8614,TRATAMENTO CIRURGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,Cidade do RS,FLORIANO PEIXOTO,NONOAI,408050896,176
-52.7756,-27.3689,TRATAMENTO DE DOENCAS DO FIGADO,Cidade do RS,NONOAI,NONOAI,303070072,1023
-52.9149,-27.4429,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,GRAMADO DOS LOUREIROS,NONOAI,303070102,195
-52.7756,-27.3689,TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS,Cidade do RS,NONOAI,NONOAI,303090316,1023
-50.7753,-29.6505,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,Cidade do RS,TAQUARA,TAQUARA,303150050,2854
-53.9891,-27.3603,EXPLORACAO ARTICULAR C/ OU S/ SINOVECTOMIA DE MEDIAS / GRANDES ARTICULACOES,Cidade do RS,ESPERANÇA DO SUL,TRÊS PASSOS,408060123,169
-53.9296,-27.4555,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,415040035,1537
-53.9296,-27.4555,POSTECTOMIA,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,409050083,1537
-53.9296,-27.4555,TRATAMENTO CIRURGICO DE VARICOCELE,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,409040231,1537
-53.608,-27.2109,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303070102,404
-53.608,-27.2109,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303140151,404
-53.4919,-27.3686,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,Cidade do RS,VISTA ALEGRE,PALMITINHO,303150050,175
-53.4919,-27.3686,TRATAMENTO DE DENGUE CLÁSSICA,Cidade do RS,VISTA ALEGRE,PALMITINHO,303010010,175
-53.4919,-27.3686,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,VISTA ALEGRE,PALMITINHO,303140151,175
-53.558,-27.3596,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS,Cidade do RS,PALMITINHO,PALMITINHO,303130059,779
-53.558,-27.3596,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES CARDIOVASCULARES,Cidade do RS,PALMITINHO,PALMITINHO,303130024,779
-53.3958,-27.3586,HERNIOPLASTIA EPIGASTRICA,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,407040064,1186
-53.3958,-27.3586,TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,412040166,1186
-53.4702,-27.4005,PARTO CESARIANO,Cidade do RS,TAQUARUÇU DO SUL,FREDERICO WESTPHALEN,411010034,288
-53.4702,-27.4005,TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL,Cidade do RS,TAQUARUÇU DO SUL,FREDERICO WESTPHALEN,303160039,288
-53.4702,-27.4005,TRATAMENTO DE ESTREPTOCOCCIAS,Cidade do RS,TAQUARUÇU DO SUL,FREDERICO WESTPHALEN,303080078,288
-53.3958,-27.3586,TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,303160039,1186
-53.3958,-27.3586,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,303160047,1186
-53.4026,-27.4829,TRATAMENTO DE ANEMIAS NUTRICIONAIS,Cidade do RS,SEBERI,SEBERI,303020059,780
-52.7756,-27.3689,CONIZACAO,Cidade do RS,NONOAI,NONOAI,409060038,1023
-52.7756,-27.3689,COLECISTECTOMIA,Cidade do RS,NONOAI,NONOAI,407030026,1023
-52.7756,-27.3689,OSTECTOMIA DE OSSOS LONGOS E CURTOS DA MAO E DO PE,Cidade do RS,NONOAI,NONOAI,408060166,1023
-52.7756,-27.3689,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),Cidade do RS,NONOAI,NONOAI,407040102,1023
-52.7756,-27.3689,LAQUEADURA TUBARIA,Cidade do RS,NONOAI,NONOAI,409060186,1023
-52.7756,-27.3689,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO,Cidade do RS,NONOAI,NONOAI,303140135,1023
-52.7756,-27.3689,TRATAMENTO DE EDEMA AGUDO DE PULMAO,Cidade do RS,NONOAI,NONOAI,303060131,1023
-50.7753,-29.6505,TRATAMENTO DE DOENCAS DO PERITONIO,Cidade do RS,TAQUARA,TAQUARA,303070080,2854
-53.9296,-27.4555,CISTOSTOMIA,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,409010090,1537
-53.0575,-27.3297,TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES,Cidade do RS,PLANALTO,PLANALTO,303140143,636
-53.0575,-27.3297,TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES,Cidade do RS,PLANALTO,PLANALTO,303140100,636
-53.0575,-27.3297,TRATAMENTO DE DISTURBIOS METABOLICOS,Cidade do RS,PLANALTO,PLANALTO,303030046,636
-53.558,-27.3596,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,PALMITINHO,PALMITINHO,303010061,779
-53.6974,-27.2902,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,VISTA GAÚCHA,PALMITINHO,303010037,134
-53.608,-27.2109,TRATAMENTO DE ACIDENTE VASCULAR CEREBRAL - AVC (ISQUEMICO OU HEMORRAGICO AGUDO),Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303040149,404
-53.608,-27.2109,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,PINHEIRINHO DO VALE,PALMITINHO,303010061,404
-53.4702,-27.4005,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES ONCOLOGICAS,Cidade do RS,TAQUARUÇU DO SUL,PALMITINHO,303130067,288
-53.3958,-27.3586,PARTO CESARIANO,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,411010034,1186
-53.5005,-27.5443,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,ERVAL SECO,FREDERICO WESTPHALEN,303010037,349
-53.4026,-27.4829,PARTO CESARIANO,Cidade do RS,SEBERI,SEBERI,411010034,780
-53.4026,-27.4829,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,SEBERI,SEBERI,303010037,780
-53.5005,-27.5443,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,ERVAL SECO,SEBERI,303160047,349
-53.4257,-27.2791,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,CAIÇARA,SEBERI,303160047,263
-52.6248,-27.7174,RESSECCAO SIMPLES DE TUMOR OSSEO / DE PARTES MOLES,Cidade do RS,CAMPINAS DO SUL,NONOAI,408060310,297
-52.6522,-27.6672,TRATAMENTO CIRURGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,Cidade do RS,CRUZALTENSE,NONOAI,408050896,120
-52.7347,-27.5298,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,Cidade do RS,ENTRE RIOS DO SUL,NONOAI,408050152,234
-52.7347,-27.5298,RECONSTRUCAO LIGAMENTAR DO TORNOZELO,Cidade do RS,ENTRE RIOS DO SUL,NONOAI,408050144,234
-52.7347,-27.5298,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,Cidade do RS,ENTRE RIOS DO SUL,NONOAI,403020123,234
-52.6789,-27.4238,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,FAXINALZINHO,NONOAI,303140151,198
-52.6789,-27.4238,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,FAXINALZINHO,NONOAI,303070102,198
-52.7756,-27.3689,TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS,Cidade do RS,NONOAI,NONOAI,303150041,1023
-52.7756,-27.3689,TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS,Cidade do RS,NONOAI,NONOAI,308040015,1023
-50.7753,-29.6505,TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE,Cidade do RS,TAQUARA,TAQUARA,303090138,2854
-51.0606,-29.6747,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,CAMPO BOM,TAQUARA,303010037,3645
-50.7753,-29.6505,TRATAMENTO DE INFARTO AGUDO DO MIOCARDIO,Cidade do RS,TAQUARA,TAQUARA,303060190,2854
-50.7753,-29.6505,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA,Cidade do RS,TAQUARA,TAQUARA,303060298,2854
-50.7753,-29.6505,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,Cidade do RS,TAQUARA,TAQUARA,304100021,2854
-50.7753,-29.6505,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,TAQUARA,TAQUARA,303140046,2854
-50.7753,-29.6505,TRATAMENTO DE INSUFICIENCIA CARDIACA,Cidade do RS,TAQUARA,TAQUARA,303060212,2854
-53.9296,-27.4555,TRATAMENTO CIRURGICO DE REFLUXO GASTROESOFAGICO,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,407010297,1537
-53.9296,-27.4555,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NAO CIMENTADA / HIBRIDA,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,408040092,1537
-53.558,-27.3596,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,PALMITINHO,PALMITINHO,303070102,779
-54.0994,-27.4999,TRATAMENTO DE PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES NEUROLOGICAS,Cidade do RS,CRISSIUMAL,PALMITINHO,303130059,648
-53.3958,-27.3586,PARTO NORMAL,Cidade do RS,FREDERICO WESTPHALEN,FREDERICO WESTPHALEN,310010039,1186
-53.183,-27.3607,SALPINGECTOMIA UNI / BILATERAL,Cidade do RS,AMETISTA DO SUL,SEBERI,409060232,739
-53.2422,-27.452,VASECTOMIA,Cidade do RS,CRISTAL DO SUL,SEBERI,409040240,241
-53.5005,-27.5443,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR,Cidade do RS,ERVAL SECO,SEBERI,409070050,349
-53.5005,-27.5443,VULVECTOMIA SIMPLES,Cidade do RS,ERVAL SECO,SEBERI,409070300,349
-53.5005,-27.5443,HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL),Cidade do RS,ERVAL SECO,SEBERI,409060119,349
-53.3958,-27.3586,VASECTOMIA,Cidade do RS,FREDERICO WESTPHALEN,SEBERI,409040240,1186
-53.2082,-27.508,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,PINHAL,SEBERI,303160047,326
-53.4026,-27.4829,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,SEBERI,SEBERI,303160047,780
-53.183,-27.3607,TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO,Cidade do RS,AMETISTA DO SUL,SEBERI,303160047,739
-53.183,-27.3607,TRATAMENTO CONSERVADOR DA HEMORRAGIA CEREBRAL,Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303040076,739
-53.183,-27.3607,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303140151,739
-52.7347,-27.5298,"EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )",Cidade do RS,ENTRE RIOS DO SUL,NONOAI,401020045,234
-52.7347,-27.5298,COLECISTECTOMIA,Cidade do RS,ENTRE RIOS DO SUL,NONOAI,407030026,234
-52.7347,-27.5298,RETIRADA DE PLACA E/OU PARAFUSOS,Cidade do RS,ENTRE RIOS DO SUL,NONOAI,408060379,234
-52.574,-27.3926,TRATAMENTO CIRURGICO DE INFECCAO POS-ARTROPLASTIA (GRANDES ARTICULACOES),Cidade do RS,ERVAL GRANDE,NONOAI,408060620,222
-52.6789,-27.4238,TENOPLASTIA OU ENXERTO DE TENDAO UNICO,Cidade do RS,FAXINALZINHO,NONOAI,408060476,198
-52.6789,-27.4238,ENTEROTOMIA E/OU ENTERORRAFIA C/ SUTURA / RESSECCAO (QUALQUER SEGMENTO),Cidade do RS,FAXINALZINHO,NONOAI,407020209,198
-52.7756,-27.3689,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,NONOAI,NONOAI,303010037,1023
-52.7756,-27.3689,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO,Cidade do RS,NONOAI,NONOAI,303070102,1023
-51.0898,-29.5836,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,Cidade do RS,DOIS IRMÃOS,TAQUARA,304100021,1635
-50.7753,-29.6505,TRATAMENTO DE DOENCAS DO FIGADO,Cidade do RS,TAQUARA,TAQUARA,303070072,2854
-53.9296,-27.4555,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,408050063,1537
-53.4257,-27.2791,TRATAMENTO DE INSUFICIENCIA CARDIACA,Cidade do RS,CAIÇARA,CAIÇARA,303060212,263
-53.4257,-27.2791,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,CAIÇARA,CAIÇARA,303010061,263
-53.4257,-27.2791,TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO,Cidade do RS,CAIÇARA,CAIÇARA,304100021,263
-53.0341,-27.2502,HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL),Cidade do RS,ALPESTRE,ALPESTRE,407040102,555
-53.558,-27.3596,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,PALMITINHO,PALMITINHO,303010037,779
-53.558,-27.3596,TRATAMENTO DE ANEMIA APLASTICA E OUTRAS ANEMIAS,Cidade do RS,PALMITINHO,PALMITINHO,303020032,779
-53.558,-27.3596,TRATAMENTO DE DIABETES MELLITUS,Cidade do RS,PALMITINHO,PALMITINHO,303030038,779
-53.558,-27.3596,TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),Cidade do RS,PALMITINHO,PALMITINHO,303140151,779
-53.558,-27.3596,TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,Cidade do RS,PALMITINHO,PALMITINHO,303150050,779
-53.558,-27.3596,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS POR ENFERMIDADES PNEUMOLOGICAS,Cidade do RS,PALMITINHO,PALMITINHO,303130032,779
-53.558,-27.3596,ATENDIMENTO A PACIENTE SOB CUIDADOS PROLONGADOS DEVIDO A CAUSAS EXTERNAS,Cidade do RS,PALMITINHO,PALMITINHO,303130016,779
-53.3958,-27.3586,EXERESE DE GLANDULA DE BARTHOLIN / SKENE,Cidade do RS,FREDERICO WESTPHALEN,SEBERI,409070157,1186
-53.3958,-27.3586,CONIZACAO,Cidade do RS,FREDERICO WESTPHALEN,SEBERI,409060038,1186
-53.2543,-27.1951,HISTERECTOMIA C/ ANEXECTOMIA (UNI / BILATERAL),Cidade do RS,IRAÍ,SEBERI,409060119,644
-53.0753,-27.601,LAQUEADURA TUBARIA,Cidade do RS,LIBERATO SALZANO,SEBERI,409060186,285
-53.2082,-27.508,CONIZACAO,Cidade do RS,PINHAL,SEBERI,409060038,326
-53.0575,-27.3297,LAQUEADURA TUBARIA,Cidade do RS,PLANALTO,SEBERI,409060186,636
-53.4026,-27.4829,APENDICECTOMIA,Cidade do RS,SEBERI,SEBERI,407020039,780
-53.5005,-27.5443,PARTO NORMAL,Cidade do RS,ERVAL SECO,SEBERI,310010039,349
-53.2543,-27.1951,PARTO NORMAL,Cidade do RS,IRAÍ,SEBERI,310010039,644
-53.1837,-27.5649,PARTO NORMAL,Cidade do RS,NOVO TIRADENTES,SEBERI,310010039,256
-53.183,-27.3607,TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303140046,739
-53.183,-27.3607,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO,Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303070110,739
-53.183,-27.3607,TRATAMENTO DE DOENÇAS INFECCIOSAS E INTESTINAIS,Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303010061,739
-52.6789,-27.4238,TRATAMENTO CIRURGICO DE FRATURA DIAFISARIA UNICA DO RADIO / DA ULNA,Cidade do RS,FAXINALZINHO,NONOAI,408020431,198
-52.6789,-27.4238,OOFORECTOMIA / OOFOROPLASTIA,Cidade do RS,FAXINALZINHO,NONOAI,409060216,198
-52.8417,-27.2973,CURETAGEM POS-ABORTAMENTO / PUERPERAL,Cidade do RS,RIO DOS ÍNDIOS,NONOAI,411020013,121
-52.7756,-27.3689,TRATAMENTO DE DIABETES MELLITUS,Cidade do RS,NONOAI,NONOAI,303030038,1023
-50.7919,-29.5693,TRATAMENTO DE OUTRAS DOENÇAS BACTERIANAS,Cidade do RS,IGREJINHA,TAQUARA,303010037,2841
-51.1328,-29.6875,TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO,Cidade do RS,NOVO HAMBURGO,TAQUARA,303070110,14035
-51.1328,-29.6875,TRATAMENTO DE INSUFICIENCIA RENAL AGUDA,Cidade do RS,NOVO HAMBURGO,TAQUARA,305020048,14035
-50.7753,-29.6505,TRATAMENTO DE ANEMIA HEMOLITICA,Cidade do RS,TAQUARA,TAQUARA,303020040,2854
-50.7753,-29.6505,TRATAMENTO DE INSUFICIENCIA RENAL CRONICA,Cidade do RS,TAQUARA,TAQUARA,305020056,2854
-50.7739,-29.5137,TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO,Cidade do RS,TRÊS COROAS,TAQUARA,304100013,1614
-53.9296,-27.4555,ARTROPLASTIA TOTAL DE QUADRIL (REVISAO / RECONSTRUCAO),Cidade do RS,TRÊS PASSOS,TRÊS PASSOS,408040076,1537
-53.6974,-27.2902,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,Cidade do RS,VISTA GAÚCHA,TRÊS PASSOS,408050063,134
-53.0341,-27.2502,TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES,Cidade do RS,ALPESTRE,ALPESTRE,303140127,555
-53.0341,-27.2502,TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA,Cidade do RS,ALPESTRE,ALPESTRE,303060204,555
-53.558,-27.3596,TRATAMENTO DE CALCULOSE RENAL,Cidade do RS,PALMITINHO,PALMITINHO,305020021,779
-53.558,-27.3596,TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS,Cidade do RS,PALMITINHO,PALMITINHO,303070129,779
-53.4026,-27.4829,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,Cidade do RS,SEBERI,SEBERI,415040035,780
-53.4026,-27.4829,CONIZACAO,Cidade do RS,SEBERI,SEBERI,409060038,780
-53.5005,-27.5443,CONIZACAO,Cidade do RS,ERVAL SECO,SEBERI,409060038,349
-53.3958,-27.3586,COLPOPERINEOPLASTIA ANTERIOR E POSTERIOR C/ AMPUTACAO DE COLO,Cidade do RS,FREDERICO WESTPHALEN,SEBERI,409060020,1186
-53.2543,-27.1951,ESVAZIAMENTO DE UTERO POS-ABORTO POR ASPIRACAO MANUAL INTRA-UTERINA (AMIU),Cidade do RS,IRAÍ,SEBERI,409060070,644
-53.2082,-27.508,OPERACAO DE BURCH,Cidade do RS,PINHAL,SEBERI,409070203,326
-53.183,-27.3607,TRATAMENTO DE INSUFICIENCIA CARDIACA,Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303060212,739
-53.183,-27.3607,TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS,Cidade do RS,AMETISTA DO SUL,AMETISTA DO SUL,303150033,739
-52.6789,-27.4238,TRATAMENTO CIRURGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,Cidade do RS,FAXINALZINHO,NONOAI,408050896,198
-52.6789,-27.4238,COLECISTECTOMIA VIDEOLAPAROSCOPICA,Cidade do RS,FAXINALZINHO,NONOAI,407030034,198
-52.7756,-27.3689,TRATAMENTO DE TROMBOSE VENOSA PROFUNDA,Cidade do RS,NONOAI,NONOAI,303060298,1023
-50.7753,-29.6505,TRATAMENTO DE ESTREPTOCOCCIAS,Cidade do RS,TAQUARA,TAQUARA,303080078,2854
-52.8056,-27.7758,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL CIMENTADA,Cidade do RS,RONDA ALTA,RONDA ALTA,408040084,884
